0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
100	100	100	102	104	104	111	111	111	112	116	121	121	124	125	124	118	124
100	100	100	102	102	102	102	108	108	111	113	118	119	120	124	123	118	124
100	100	84	91	102	102	103	105	110	110	110	117	118	119	122	122	117	121
100	100	100	102	102	102	101	101	101	108	109	112	118	116	119	124	119	120
110	100	100	98	101	100	100	100	100	100	100	112	112	114	118	123	118	122
150	100	100	93	100	100	100	100	100	100	100	104	112	114	116	121	113	125
124	101	100	98	98	101	92	93	95	92	100	105	103	113	117	119	123	125
131	94	98	96	95	92	90	91	92	96	98	102	103	104	116	114	127	120
127	91	88	98	89	94	92	90	90	96	94	90	103	107	110	112	113	119
135	100	95	101	96	95	104	97	93	92	93	100	96	109	107	112	124	119
138	96	94	97	102	97	96	98	96	96	92	118	97	100	106	117	113	116
125	99	93	100	98	98	96	99	98	95	95	104	105	103	109	116	114	117
125	101	97	99	96	101	96	95	95	95	97	106	95	104	105	105	105	105
115	102	98	95	102	95	99	96	95	94	97	100	97	103	103	103	103	103
100	100	98	103	90	95	95	99	100	92	93	103	103	103	103	103	103	103
108	100	98	95	97	100	94	100	100	100	100	103	103	103	103	103	103	103
