0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
100	99	99	100	102	102	111	111	111	112	116	121	122	123	125	124	118	124
100	97	97	98	98	98	102	105	108	111	113	109	110	115	118	123	117	124
100	98	94	98	99	99	99	97	104	110	110	113	116	119	120	122	119	125
100	98	98	98	97	99	98	98	97	108	108	108	118	116	119	118	123	125
100	101	97	97	97	97	97	93	94	98	99	103	109	114	116	118	123	126
100	99	98	96	97	98	98	98	98	103	95	96	109	114	117	120	122	121
103	99	96	98	97	104	95	98	100	94	102	102	106	113	117	116	125	122
110	94	104	96	96	97	97	94	95	99	100	97	105	107	117	124	125	117
99	88	98	102	91	100	97	96	100	102	93	91	112	118	114	125	117	120
108	93	88	100	97	95	102	101	95	93	98	98	97	124	115	125	125	117
112	90	102	100	102	98	98	98	98	97	97	116	112	108	111	117	115	116
130	95	98	102	101	100	96	100	101	98	100	109	103	113	115	119	115	116
125	125	101	102	99	103	100	97	98	98	101	105	93	109	109	112	105	105
115	125	109	99	105	98	102	97	97	95	102	100	95	103	103	103	103	103
100	100	101	106	103	99	101	101	100	94	95	103	103	103	103	103	103	103
108	100	103	101	107	102	103	105	100	100	100	103	103	103	103	103	103	103
