0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
130	130	99	100	102	102	111	111	111	112	116	121	122	123	125	124	118	124
130	130	97	98	98	98	102	105	108	111	113	109	110	115	118	123	117	124
130	130	94	98	99	99	99	97	104	110	110	113	116	119	120	122	118	125
130	130	98	98	97	99	98	98	97	108	108	108	118	116	119	118	123	121
130	130	97	102	100	102	97	97	97	98	99	103	109	114	116	118	123	125
130	130	102	99	99	99	99	101	97	102	95	96	109	114	117	113	122	119
130	130	96	98	97	103	93	98	100	90	100	99	106	113	117	116	128	123
130	130	109	100	100	99	100	97	96	98	96	85	92	96	114	135	124	119
130	130	93	105	94	103	100	98	98	97	91	92	103	114	124	137	123	120
130	130	83	99	96	97	100	99	95	92	94	95	92	125	115	130	125	119
130	130	95	96	102	98	97	97	96	98	94	111	105	104	108	115	115	117
130	130	101	100	100	99	95	97	100	94	97	106	96	114	113	116	119	115
130	130	101	101	98	101	98	95	96	97	100	103	93	117	109	114	110	105
120	120	103	97	103	96	100	97	97	95	100	97	95	103	103	103	103	103
100	100	98	104	100	96	100	100	94	89	95	103	103	103	103	103	103	103
108	100	103	99	106	102	104	105	100	100	100	103	103	103	103	103	103	103
