Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
121	837	1.880000	4.840000	2.690000	0.960000	0.280000	83.000000	70.000000	250	0.000000	0.000000	0.000000	0	0	0	
281	829	1.910000	4.820000	2.690000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
441	832	1.900000	4.840000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
611	831	1.910000	4.790000	2.660000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
772	827	1.930000	4.820000	2.690000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
932	822	1.910000	4.820000	2.690000	0.950000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
1112	828	1.950000	4.840000	2.700000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
1282	828	1.970000	4.870000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
1463	830	2.000000	4.840000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
1633	832	1.930000	4.790000	2.700000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
1813	827	1.950000	4.870000	2.720000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
1993	830	1.950000	9.630000	5.050000	0.970000	0.590000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
2164	852	2.060000	6.650000	3.780000	1.000000	0.390000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
2344	1280	1.310000	5.150000	2.990000	1.010000	0.260000	83.000000	70.000000	250	0.000000	0.000000	0.890000	0	0	0	
