 mAir, RPM, O2Sf, Target
173,848,2609,2635.09
172,849,2678,2704.78
172,849,2678,2704.78
173,849,2663,2689.63
173,852,2663,2689.63
173,857,2590,2615.9
171,857,2590,2615.9
171,857,2590,2615.9
171,859,2663,2689.63
171,859,2663,2689.63
172,855,2551,2576.51
172,855,2551,2576.51
171,855,2590,2615.9
171,857,2590,2615.9
170,860,2580,2605.8
170,860,2580,2605.8
170,860,2561,2586.61
170,856,2561,2586.61
170,856,2609,2635.09
171,854,2609,2635.09
171,854,2600,2626
171,852,2600,2626
171,852,2600,2626
170,854,2663,2689.63
170,854,2663,2689.63
172,854,2605,2631.05
172,854,2605,2631.05
178,854,2580,2605.8
178,849,2580,2605.8
173,849,2771,2798.71
173,850,2771,2798.71
173,850,2658,2684.58
173,850,2658,2684.58
173,853,2658,2684.58
171,852,2634,2660.34
171,852,2634,2660.34
169,852,2712,2739.12
169,852,2712,2739.12
170,850,2585,2610.85
170,850,2585,2610.85
170,855,2580,2605.8
170,855,2580,2605.8
171,853,2507,2532.07
171,853,2507,2532.07
171,853,2683,2709.83
173,855,2683,2709.83
173,855,2683,2709.83
173,856,2600,2626
173,856,2600,2626
171,856,2468,2492.68
171,854,2468,2492.68
172,857,2580,2605.8
172,857,2580,2605.8
172,857,2570,2595.7
172,860,2570,2595.7
170,859,2561,2586.61
170,859,2561,2586.61
170,859,2629,2655.29
170,861,2629,2655.29
170,861,2649,2675.49
171,859,2649,2675.49
171,859,2649,2675.49
171,858,2575,2600.75
171,858,2575,2600.75
170,856,2561,2586.61
170,856,2561,2586.61
172,860,2712,2739.12
172,860,2712,2739.12
173,860,2732,2759.32
173,858,2732,2759.32
173,859,2673,2699.73
173,859,2673,2699.73
173,859,2683,2709.83
170,859,2683,2709.83
170,861,2683,2709.83
168,862,2810,2838.1
168,862,2810,2838.1
168,862,2702,2729.02
168,858,2702,2729.02
169,858,2663,2689.63
169,858,2663,2689.63
169,858,2595,2620.95
171,858,2595,2620.95
171,861,2751,2778.51
171,861,2751,2778.51
171,861,2614,2640.14
170,865,2614,2640.14
169,865,2585,2610.85
169,867,2585,2610.85
169,867,2629,2655.29
169,863,2629,2655.29
169,863,2639,2665.39
169,865,2639,2665.39
169,865,2639,2665.39
169,864,2644,2670.44
169,864,2658,2684.58
170,856,2658,2684.58
170,853,2658,2684.58
172,853,2678,2704.78
172,853,2678,2704.78
171,853,2634,2660.34
171,860,2634,2660.34
170,856,2590,2615.9
170,856,2590,2615.9
170,856,2688,2714.88
169,860,2688,2714.88
169,860,2688,2714.88
170,858,2702,2729.02
170,858,2702,2729.02
169,856,2668,2694.68
169,856,2668,2694.68
169,856,2512,2537.12
169,856,2512,2537.12
169,857,2600,2626
169,857,2600,2626
169,857,2702,2729.02
166,855,2702,2729.02
166,855,2702,2729.02
168,859,2614,2640.14
168,859,2614,2640.14
171,855,2649,2675.49
171,855,2649,2675.49
170,856,2658,2684.58
170,856,2658,2684.58
169,856,2712,2739.12
169,852,2712,2739.12
169,852,2536,2561.36
171,852,2536,2561.36
171,852,2634,2660.34
170,850,2634,2660.34
170,850,2634,2660.34
172,847,2600,2626
172,847,2600,2626
171,847,2683,2709.83
171,850,2683,2709.83
169,850,2668,2694.68
169,860,2668,2694.68
169,860,2678,2704.78
169,855,2678,2704.78
169,853,2737,2764.37
169,853,2737,2764.37
169,853,2746,2773.46
170,849,2746,2773.46
170,849,2746,2773.46
169,849,2614,2640.14
169,849,2541,2566.41
168,853,2541,2566.41
168,853,2541,2566.41
169,856,2600,2626
169,856,2600,2626
170,854,2595,2620.95
170,854,2595,2620.95
170,854,2697,2723.97
170,860,2697,2723.97
172,860,2634,2660.34
172,857,2634,2660.34
172,855,2737,2764.37
171,855,2737,2764.37
171,855,2737,2764.37
169,849,2795,2822.95
169,849,2795,2822.95
167,851,2639,2665.39
167,851,2639,2665.39
169,850,2585,2610.85
169,850,2585,2610.85
172,849,2795,2822.95
172,849,2795,2822.95
171,850,2712,2739.12
171,850,2712,2739.12
169,850,2737,2764.37
169,851,2737,2764.37
169,851,2565,2590.65
171,849,2565,2590.65
171,849,2565,2590.65
169,849,2722,2749.22
169,852,2722,2749.22
169,854,2712,2739.12
169,854,2712,2739.12
172,854,2629,2655.29
172,858,2629,2655.29
172,854,2697,2723.97
172,854,2697,2723.97
172,854,2663,2689.63
170,849,2663,2689.63
170,849,2663,2689.63
173,844,2790,2817.9
173,844,2790,2817.9
172,850,2781,2808.81
172,850,2781,2808.81
174,847,2639,2665.39
174,847,2639,2665.39
172,847,2639,2665.39
172,850,2639,2665.39
172,850,2624,2650.24
172,852,2624,2650.24
172,852,2624,2650.24
169,852,2722,2749.22
169,852,2722,2749.22
170,852,2649,2675.49
170,851,2649,2675.49
168,851,2732,2759.32
168,849,2732,2759.32
168,849,2693,2719.93
166,849,2693,2719.93
166,845,2693,2719.93
170,849,2644,2670.44
170,849,2644,2670.44
174,849,2678,2704.78
174,844,2678,2704.78
176,844,2756,2783.56
176,846,2756,2783.56
171,846,2668,2694.68
171,846,2668,2694.68
171,850,2707,2734.07
174,852,2707,2734.07
174,852,2707,2734.07
174,852,2741,2768.41
174,852,2741,2768.41
173,855,2707,2734.07
173,855,2707,2734.07
171,855,2751,2778.51
171,854,2751,2778.51
170,858,2712,2739.12
170,858,2712,2739.12
168,859,2727,2754.27
169,864,2785,2812.85
169,864,2785,2812.85
167,864,2707,2734.07
167,865,2707,2734.07
168,865,2751,2778.51
168,865,2751,2778.51
168,868,2673,2699.73
167,862,2673,2699.73
167,862,2683,2709.83
168,851,2683,2709.83
168,849,2683,2709.83
171,849,2746,2773.46
171,849,2746,2773.46
169,854,2697,2723.97
169,854,2697,2723.97
167,854,2727,2754.27
167,854,2727,2754.27
169,854,2644,2670.44
169,854,2644,2670.44
169,855,2800,2828
169,853,2800,2828
169,853,2800,2828
169,854,2732,2759.32
169,850,2639,2665.39
170,850,2639,2665.39
170,850,2756,2783.56
167,855,2756,2783.56
167,855,2756,2783.56
165,855,2702,2729.02
165,850,2702,2729.02
165,853,2741,2768.41
165,853,2741,2768.41
164,849,2678,2704.78
164,849,2678,2704.78
165,850,2663,2689.63
165,850,2663,2689.63
165,850,2746,2773.46
166,851,2746,2773.46
166,851,2746,2773.46
164,854,2702,2729.02
164,854,2702,2729.02
165,847,2751,2778.51
165,847,2751,2778.51
165,840,2649,2675.49
